Artists1,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Lund,Broken,Broken,72,200672,True,0.83,0.583,0,-2.052,1,0.0412,0.0563,0.0005,0.109,0.146,134.0,4,chill
potsu,i'm closing my eyes,i'm closing my eyes,69,118302,False,0.895,0.109,0,-13.853,0,0.0996,0.534,0.549,0.106,0.546,134.067,4,chill
Lund,Fiction,Fiction,58,279515,True,0.752,0.481,11,-9.203,0,0.044,0.419,3.11e-05,0.366,0.393,135.671,4,chill
JBee,Next Up - S4-E2,"Next Up - S4-E2, Pt. 1",77,120839,True,0.54,0.585,8,-7.563,0,0.309,0.198,0.0,0.147,0.516,100.289,3,chill
Mokita,Ready Yet,Ready Yet,64,152922,False,0.79,0.531,8,-8.065,1,0.147,0.193,0.0,0.13,0.627,104.512,4,chill
Pink Sweat$,I Feel Good (Asia Edition),I Feel Good (feat. Bunga),36,135849,False,0.792,0.744,11,-4.744,1,0.0554,0.0766,4.55e-05,0.0548,0.65,105.981,4,chill
Tom Odell,Another Love (Tiësto Remix),Another Love - Tiësto Remix,75,185365,False,0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046,4,chill
Mokita,down,down,61,194680,False,0.524,0.391,4,-9.021,1,0.041,0.789,0.0,0.0869,0.143,148.009,4,chill
Pink Sweat$,I Feel Good (Asia Edition),I Feel Good (feat. Arthur Miguel),49,135849,False,0.763,0.762,11,-4.641,1,0.0514,0.0397,0.000132,0.0548,0.692,106.021,4,chill
MASN,How To Kill A Rockstar,Psycho!,68,197217,True,0.876,0.312,7,-10.17,1,0.0521,0.443,0.0,0.247,0.377,114.973,4,chill
yaeow,Lost In Between,Lost In Between,58,124500,False,0.628,0.329,9,-13.577,1,0.104,0.8,0.0855,0.256,0.407,79.976,4,chill
JBee,4am,4am,75,193714,True,0.863,0.482,1,-9.132,1,0.439,0.621,0.0,0.148,0.618,140.021,4,chill
Timmies,Ekena,ugly,60,120027,True,0.708,0.213,7,-8.266,1,0.0396,0.924,0.00118,0.111,0.109,80.02,4,chill
keshi,THE REAPER,i swear i'll never leave again,68,173716,False,0.569,0.319,8,-12.85,1,0.0277,0.853,0.000151,0.128,0.32,79.997,4,chill
CORBAL,Love Is the Same as Sadness,Dance with Me,70,87411,False,0.593,0.275,6,-15.25,0,0.0638,0.816,0.0115,0.108,0.363,114.82,4,chill
Sarah Meow,Safe.,I Know You so Well,60,119089,False,0.771,0.0995,0,-11.712,0,0.104,0.896,0.355,0.112,0.397,122.909,4,chill
Chris James,Not Angry,Not Angry,62,199687,False,0.853,0.314,5,-12.418,0,0.065,0.646,0.000211,0.107,0.679,123.974,4,chill
Pink Sweat$,I Feel Good (feat. Rahmania Astrini),I Feel Good (feat. Rahmania Astrini),17,135849,False,0.761,0.745,11,-4.651,1,0.0457,0.12,1.1e-05,0.0551,0.7,106.02,4,chill
A1 x J1,Night Away (Dance) (feat. Tion Wayne),Night Away (Dance) (feat. Tion Wayne),75,175774,True,0.706,0.552,5,-9.479,0,0.0833,0.235,0.0,0.144,0.835,142.037,4,chill
fenekot,Slowed + Reverb,Payphone (Slowed + Reverb),55,123343,True,0.507,0.306,8,-14.906,1,0.0583,0.94,0.631,0.11,0.124,88.106,4,chill
Sarah Meow,"Safe, Pt. 2",Loosing Interest,64,117984,False,0.888,0.245,10,-9.639,0,0.0831,0.653,0.829,0.207,0.453,113.957,4,chill
Yusei,Tell Me Pretty Lies,Tell Me Pretty Lies,57,269295,False,0.627,0.316,3,-15.572,0,0.314,0.962,0.91,0.115,0.124,114.643,4,chill
SwitchOTR,"Coming for You (feat. Loski, Bandokay & Izzpot) [Remix]",Coming for You - Freestyle,66,70285,True,0.898,0.303,6,-6.68,1,0.403,0.219,0.000962,0.0633,0.68,140.23,4,chill
Devin Kennedy,"You & Me, That's Enough",Something Bout That Feeling,64,132688,False,0.69,0.397,5,-6.514,1,0.0453,0.064,0.0,0.0784,0.772,203.723,4,chill
mj apanay,villain,villain,58,153621,True,0.792,0.389,3,-9.679,1,0.0776,0.78,0.0,0.346,0.829,86.954,4,chill
Gavin Haley,Long Game,The Way I Am,61,178143,False,0.533,0.5,7,-8.273,1,0.0481,0.772,0.0,0.112,0.14,99.77,4,chill
Pink Sweat$,I Feel Good (Asia Edition),I Feel Good (feat. Patrickananda),42,135863,False,0.765,0.781,11,-4.523,1,0.0542,0.0326,1.24e-05,0.0548,0.623,105.998,4,chill
Zaini,wherever you would call me,wherever you would call me,61,213818,False,0.661,0.396,7,-13.093,0,0.0466,0.457,0.258,0.919,0.0352,109.989,4,chill
French The Kid,Hidden Gems,Window Blues,1,194693,True,0.686,0.543,9,-9.096,1,0.401,0.617,0.0,0.111,0.142,68.241,3,chill
Sam Wills,Traingazing,Traingazing,60,214159,False,0.849,0.361,11,-10.057,1,0.0641,0.692,0.00673,0.14,0.553,137.539,4,chill
Kid Travis,Strawberry Skies (Deluxe Edition),Galaxy,58,169415,False,0.722,0.582,10,-8.231,0,0.403,0.148,2.67e-06,0.044,0.892,169.917,4,chill
Pink Sweat$,PINK PLANET,Honesty,70,189000,True,0.66,0.139,6,-16.339,0,0.0323,0.964,1.1e-05,0.105,0.312,79.975,4,chill
Kid Travis,Strawberry Skies (Deluxe Edition),Stay (Don't Go),57,207160,True,0.458,0.239,11,-15.877,0,0.0599,0.0346,0.0,0.0815,0.31,94.993,4,chill
Christian Kuria,So,So,64,160500,False,0.539,0.407,2,-10.937,0,0.0328,0.816,0.00291,0.125,0.346,79.985,4,chill
Home,Odyssey,Resonance,71,212881,False,0.566,0.74,8,-8.614,1,0.063,0.0352,0.849,0.221,0.419,170.098,5,chill
Luke Chiang,Shouldn't Be,Shouldn't Be,71,210480,False,0.647,0.294,6,-10.344,0,0.0312,0.728,0.0,0.123,0.323,124.999,3,chill
HYBS,Dancing with my phone,Dancing with my phone,63,203532,True,0.834,0.586,6,-8.278,1,0.0267,0.439,0.083,0.102,0.878,102.048,4,chill
Fatboibari,Moonlight Shawty,Moonlight Shawty,71,167994,True,0.671,0.184,5,-15.541,1,0.123,0.835,0.0011,0.0794,0.128,106.04,4,chill
keshi,GABRIEL,TOUCH,66,205346,False,0.412,0.613,10,-9.803,1,0.125,0.528,1.96e-06,0.104,0.314,89.025,4,chill
Weston Estate,Pears,Pears,61,141877,False,0.607,0.599,5,-6.481,0,0.0558,0.534,0.0,0.111,0.192,82.013,4,chill
